budget,revenue,content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
68000000.0,77224232.0,100,58,"Action,Comedy,Crime",Joseph Ruben,1995,11,21,1,110,Money Train,https://www.themoviedb.org//movie/11517-money-train
nan,nan,100,73,"Action,Animation,Crime,Science Fiction",Bob Kane,2021,9,18,5,64,Batman: Year One,https://www.themoviedb.org//movie/69735-batman-year-one
52000000.0,205668210.0,100,58,"Romance,Comedy",Jay Lavender,2006,6,2,4,106,The Break-Up,https://www.themoviedb.org//movie/9767-the-break-up
15000000.0,49469904.0,100,71,"Drama,Romance",Richard Eyre,2006,12,25,0,92,Notes on a Scandal,https://www.themoviedb.org//movie/1259-notes-on-a-scandal
22000000.0,11942780.0,100,63,"Drama,Crime,Thriller",Dan Gilroy,2017,11,22,2,122,"Roman J. Israel, Esq.","https://www.themoviedb.org//movie/413362-roman-j.-israel,-esq."
nan,56385.0,100,64,"Drama,Thriller,Adventure,Horror",Yolanda Ramke,2018,5,18,4,105,Cargo,https://www.themoviedb.org//movie/425972-cargo
500000.0,10166459.0,100,55,"Science Fiction,Action",Albert Pyun,1989,4,7,4,86,Cyborg,https://www.themoviedb.org//movie/10134-cyborg
25000000.0,19075720.0,100,57,"Science Fiction,Thriller,Adventure,Action,Drama",Robert Longo,1995,5,26,4,97,Johnny Mnemonic,https://www.themoviedb.org//movie/9886-johnny-mnemonic
14350531.0,3964682.0,100,64,"Action,Comedy,Science Fiction",Joe Cornish,2011,7,29,4,88,Attack the Block,https://www.themoviedb.org//movie/59678-attack-the-block
nan,111523.0,100,52,"Action,Thriller",Matt Eskandari,2020,10,23,4,98,Hard Kill,https://www.themoviedb.org//movie/724989-hard-kill
nan,nan,100,71,Drama,Clark Johnson,2021,6,10,3,100,Percy,https://www.themoviedb.org//movie/548755-percy
40000000.0,114830111.0,100,69,"Romance,Drama,Mystery",Alejandro Agresti,2006,6,16,4,99,The Lake House,https://www.themoviedb.org//movie/2044-the-lake-house
nan,nan,79,53,,Katina Medina Mora,2013,11,15,4,62,Lu-To,https://www.themoviedb.org//movie/265329-lu-to
nan,900000.0,100,74,"Action,Drama",Robert Mark Kamen,1992,3,6,4,101,Gladiator,https://www.themoviedb.org//movie/16219-gladiator
5000000.0,13203541.0,100,57,"Romance,Comedy,Drama",Eleanor Coppola,2017,5,12,4,92,Paris Can Wait,https://www.themoviedb.org//movie/375867-paris-can-wait
20000000.0,187884007.0,100,59,"Horror,Thriller",Jeannot Szwarc,1978,6,16,4,116,Jaws 2,https://www.themoviedb.org//movie/579-jaws-2
5000000.0,nan,100,73,"Drama,War,Romance",Sergey Mokritsky,2015,4,18,5,110,Battle for Sevastopol,https://www.themoviedb.org//movie/332270-battle-for-sevastopol
nan,nan,50,68,Documentary,unknown,1998,12,12,5,60,Pablo Escobar: King of Cocaine,https://www.themoviedb.org//movie/248513-pablo-escobar-king-of-cocaine
nan,135095.0,100,65,"Horror,Drama",Jeremy Dyson,2017,10,5,3,98,Ghost Stories,https://www.themoviedb.org//movie/429417-ghost-stories
5500000.0,42187665.0,100,81,"Animation,Drama,Mystery,History",Hugh Welchman,2017,9,1,4,95,Loving Vincent,https://www.themoviedb.org//movie/339877-loving-vincent
90000000.0,122823468.0,100,58,"Science Fiction,Action,Drama,Thriller",Jerome Armstrong,1997,4,25,4,104,Volcano,https://www.themoviedb.org//movie/10357-volcano
47000000.0,38085778.0,100,49,"Adventure,Animation,Comedy,Family,Fantasy",Paul Bolger,2007,1,5,4,87,Happily N'Ever After,https://www.themoviedb.org//movie/5393-happily-n'ever-after
nan,nan,100,79,"Family,Animation,Adventure,Comedy,Fantasy",Alexey Tsitsilin,2018,12,21,4,87,The Snow Queen: Mirror Lands,https://www.themoviedb.org//movie/564145-the-snow-queen-mirror-lands
nan,nan,100,67,"Family,Comedy,Animation,Adventure,Science Fiction,TV Movie",Jeff 'Swampy' Marsh,2013,10,1,1,45,Phineas and Ferb: Mission Marvel,https://www.themoviedb.org//movie/284019-phineas-and-ferb-mission-marvel
nan,nan,43,0,,Mohamed Sobaih,2021,11,17,2,nan,The Bottle,https://www.themoviedb.org//movie/892755-the-bottle
nan,nan,100,70,"Action,Animation,Drama,Mystery",Kobun Shizuno,2014,4,19,5,110,Detective Conan: Dimensional Sniper,https://www.themoviedb.org//movie/257512-detective-conan-dimensional-sniper
nan,nan,100,61,Comedy,Giuseppe Moccia,1981,6,6,5,90,Ace,https://www.themoviedb.org//movie/37765-ace
23000000.0,38689940.0,100,60,"Comedy,Romance",Tony Goldwyn,2001,3,30,4,97,Someone Like You...,https://www.themoviedb.org//movie/12658-someone-like-you...
nan,nan,21,0,,Otto Cortes,2021,11,17,2,nan,Voa Passarinho,https://www.themoviedb.org//movie/893021-voa-passarinho
50000000.0,38955598.0,100,74,"Drama,Thriller,Crime",Alan Parker,2003,2,21,4,130,The Life of David Gale,https://www.themoviedb.org//movie/11615-the-life-of-david-gale
nan,nan,93,71,"Romance,Music",Daniel Gill,2018,4,27,4,105,Modern Life Is Rubbish,https://www.themoviedb.org//movie/412003-modern-life-is-rubbish
nan,nan,21,0,,Anastasia Shinkarenko,2021,11,17,2,nan,Attack of the Furry Fish,https://www.themoviedb.org//movie/893016-attack-of-the-furry-fish
nan,nan,43,0,,Ciel Sourdeau,2021,11,17,2,nan,Sad Cowboy Platonic Love,https://www.themoviedb.org//movie/892978-sad-cowboy-platonic-love
nan,nan,100,43,"Horror,Science Fiction,TV Movie",Misty Talley,2015,7,20,0,90,Zombie Shark,https://www.themoviedb.org//movie/347849-zombie-shark
nan,nan,100,50,"Thriller,Horror",Jeff Chan,2014,10,28,1,87,Grace,https://www.themoviedb.org//movie/289416-grace
nan,nan,100,61,"Crime,Drama",Ewan McGregor,2016,10,21,4,108,American Pastoral,https://www.themoviedb.org//movie/326285-american-pastoral
2000000.0,43625095.0,100,64,"Comedy,Horror,Science Fiction",Stephen Chiodo,1988,5,27,4,88,Killer Klowns from Outer Space,https://www.themoviedb.org//movie/16296-killer-klowns-from-outer-space
2200000.0,3251794.0,100,72,"Crime,Drama,Thriller",Sam Peckinpah,1971,12,29,2,116,Straw Dogs,https://www.themoviedb.org//movie/994-straw-dogs
nan,nan,100,59,"Drama,Thriller",Fouad Mikati,2015,5,31,6,95,Return to Sender,https://www.themoviedb.org//movie/333381-return-to-sender
10000000.0,4073489.0,100,68,"Drama,History",Mick Jackson,2016,10,21,4,109,Denial,https://www.themoviedb.org//movie/402298-denial
32000000.0,60328558.0,100,68,"Fantasy,Comedy,Drama",Richard Donner,1988,11,22,1,101,Scrooged,https://www.themoviedb.org//movie/9647-scrooged
nan,nan,50,0,,Arturo R. Jiménez,2021,11,17,2,24,El Fantasma,https://www.themoviedb.org//movie/807275-el-fantasma
